case,crop_id,seed,k1_true,noise,method,status,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00010235709225573896,0.0012268458671705151,45.81291125318639,0.9964383524815071,0.997655022683122,112630.36258368996,0.9983619476790373,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,1003.08,25
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0,dcs_paper_style,ok,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,898.45,25
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00010235709225573896,0.0012268458671705151,45.81291125318639,0.9964383524815071,0.997655022683122,112630.36258368996,0.9983619476790373,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,1097.04,25
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,10,dcs_paper_style,ok,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,1233.34,25
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,9.242452530747908e-05,0.0012356756831950158,48.787229082327514,0.9969425512924592,0.9988174641357339,56783.701537023466,1.0,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,1128.79,25
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0,dcs_paper_style,ok,0.003390130054998627,-0.003390130054998627,7.086763875156433,3.888888888888889,8.0,0.0025417164209293416,0.0011818800926700146,38.034800296052836,0.9867607579911944,0.9859448831613833,675253.0864281068,1.0,55.9907416358049,0.9990035034971713,0.9997749635169664,10811.163714223194,1.0,522.81,25
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,9.242452530747908e-05,0.0012356756831950158,48.787229082327514,0.9969425512924592,0.9988174641357339,56783.701537023466,1.0,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,1227.22,25
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,10,dcs_paper_style,ok,0.003390130054998627,-0.003390130054998627,7.086763875156433,3.888888888888889,8.0,0.0025417164209293416,0.0011818800926700146,38.034800296052836,0.9867607579911944,0.9859448831613833,675253.0864281068,1.0,55.9907416358049,0.9990035034971713,0.9997749635169664,10811.163714223194,1.0,544.36,25
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00010235709225573896,0.0012268458671705151,45.81291125318639,0.9964383524815071,0.997655022683122,112630.36258368996,0.9983619476790373,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,1299.55,25
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,10,dcs_paper_style,ok,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,614.15,25
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.855921454276674,1.0555555555555556,2.0,9.242452530747908e-05,0.0012356756831950158,48.787229082327514,0.9969425512924592,0.9988174641357339,56783.701537023466,1.0,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,1340.5,25
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,10,dcs_paper_style,ok,0.003390130054998627,-0.003390130054998627,7.086763875156433,3.888888888888889,8.0,0.0025417164209293416,0.0011818800926700146,38.034800296052836,0.9867607579911944,0.9859448831613833,675253.0864281068,1.0,55.9907416358049,0.9990035034971713,0.9997749635169664,10811.163714223194,1.0,609.52,25
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00014220624365430097,0.00181008212959969,41.1439847413937,0.9944510687454172,0.994950375965336,330025.9830692318,0.9984831249812909,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,1304.94,25
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0,dcs_paper_style,ok,0.0025289784637208155,0.0025289784637208155,5.773502691896258,3.2222222222222223,7.0,0.003618775086296616,0.001781680900448858,34.66293391022587,0.9827564864046748,0.977573383201775,1467753.8103844444,0.9953322272906252,55.354974968929255,0.9988960839602706,0.9998083360271848,12515.526111495927,1.0,610.95,25
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,10,dcs_paper_joint_oracle,ok,0.0,0.0,1.8257418583505538,1.0,2.0,0.00014220624365430097,0.00181008212959969,41.1439847413937,0.9944510687454172,0.994950375965336,330025.9830692318,0.9984831249812909,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,1402.99,25
