case,crop_id,seed,k1_true,noise,method,status,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations
c0_s2026_k1_m0.0020_noise_00,0,2026,-0.002,0,dcs_paper_style,ok,0.0015894494804091306,0.0015894494804091306,3.6514837167011076,2.0,4.0,0.0013544167370754547,0.0007685001387876811,41.60849697196848,0.9921623649176476,0.9938246403591796,296549.30485385796,0.9969674012908692,62.083992156654276,0.9996781045794461,0.9999446475546365,2657.9535797297,1.0,1124.71,25
c0_s2026_k1_m0.0020_noise_00,0,2026,-0.002,0,sequential_paper_matched,ok,0.0015122140323744523,0.0015122140323744523,3.1622776601683795,1.6666666666666667,4.0,0.001292461785110632,0.0007628595001992805,42.5357268581001,0.9933541954116403,0.9950120223133326,239537.72564868713,0.9973461882974387,62.52498020178409,0.9997033526151055,0.9999499921663313,2401.311978951992,1.0,424.08,1
c0_s2026_k1_m0.0020_noise_00,0,2026,-0.002,0,sequential_paper_no_prestitch,ok,1.2106741134233854e-05,-1.2106741134233854e-05,0.0,0.0,0.0,8.87528886641956e-05,8.87528886641956e-05,74.0324896014733,0.999964707710519,0.999996466495919,169.70617592101945,1.0,74.0324896014733,0.999964707710519,0.999996466495919,169.70617592101945,1.0,29.11,1
c0_s2026_k1_m0.0020_noise_10,0,2026,-0.002,10,dcs_paper_style,ok,0.0015894494804091306,0.0015894494804091306,3.6514837167011076,2.0,4.0,0.0013544167370754547,0.0007685001387876811,41.60849697196848,0.9921623649176476,0.9938246403591796,296549.30485385796,0.9969674012908692,62.083992156654276,0.9996781045794461,0.9999446475546365,2657.9535797297,1.0,1108.66,25
c0_s2026_k1_m0.0020_noise_10,0,2026,-0.002,10,sequential_paper_matched,ok,0.0015122140323744523,0.0015122140323744523,3.1622776601683795,1.6666666666666667,4.0,0.001292461785110632,0.0007628595001992805,42.5357268581001,0.9933541954116403,0.9950120223133326,239537.72564868713,0.9973461882974387,62.52498020178409,0.9997033526151055,0.9999499921663313,2401.311978951992,1.0,423.78,1
c0_s2026_k1_m0.0020_noise_10,0,2026,-0.002,10,sequential_paper_no_prestitch,ok,0.0011366237776047243,0.0011366237776047243,1.8257418583505538,1.0,2.0,0.0010052240381960426,0.0002655339664448188,46.067840253597794,0.9963675106880027,0.997788331773764,106209.30871908288,0.9984831249812909,64.86928286721108,0.9998120698580026,0.9999708516701975,1399.6463657207257,1.0,27.06,1
c0_s2026_k1_m0.0040_noise_00,0,2026,-0.004,0,dcs_paper_style,ok,0.0025028329270164523,0.0025028329270164523,5.676462121975467,3.111111111111111,7.0,0.0020577634784708057,0.0011288129137588905,38.55514986876343,0.9871237703128857,0.9875250412921641,599006.618036009,0.9953280537255832,58.23312679563874,0.9993387187042672,0.9998656421418396,6451.102286370677,1.0,943.5,25
c0_s2026_k1_m0.0040_noise_00,0,2026,-0.004,0,sequential_paper_matched,ok,0.0029724919919967277,0.0029724919919967277,5.022173057773121,2.7222222222222223,6.0,0.002305559214856251,0.0007614531470950608,39.36651892887394,0.9886918478530193,0.98965031837877,496929.42612034414,0.9958313281032327,57.0182725599268,0.9991529887934232,0.9998222710375039,8533.345927107823,1.0,372.31,1
c0_s2026_k1_m0.0040_noise_00,0,2026,-0.004,0,sequential_paper_no_prestitch,ok,1.2239061098147201e-05,1.2239061098147201e-05,0.0,0.0,0.0,8.81652936166984e-05,8.81652936166984e-05,73.44191056077764,0.9999596423097858,0.999995951653446,194.42654173831286,1.0,73.44191056077764,0.9999596423097858,0.999995951653446,194.42654173831286,1.0,21.12,1
c0_s2026_k1_m0.0040_noise_10,0,2026,-0.004,10,dcs_paper_style,ok,0.0025337024777812656,0.0025337024777812656,5.547772325697746,3.0555555555555554,6.0,0.002075506283464698,0.0009709035904527469,38.72714150724491,0.9874380989960363,0.9880090345308922,575748.0249154967,0.9954528289287351,58.146831688530455,0.9993269265135795,0.9998629455323449,6580.568870218462,1.0,1060.91,25
c0_s2026_k1_m0.0040_noise_10,0,2026,-0.004,10,sequential_paper_matched,ok,0.0030174817084324557,0.0030174817084324557,5.477225575051661,3.0,6.0,0.0023285655942138403,0.0007119651986090738,38.78480873481852,0.9875662575422947,0.9881670005470384,568153.5623226325,0.9954528289287351,56.90886818902441,0.9991343152545852,0.9998177365209732,8751.042411390177,1.0,408.84,1
c0_s2026_k1_m0.0040_noise_10,0,2026,-0.004,10,sequential_paper_no_prestitch,ok,0.0009752371843147123,0.0009752371843147123,1.8257418583505538,1.0,2.0,0.0009137009650213473,0.0003024268610624343,46.07411490966424,0.996393299322629,0.9977915389110377,106055.96905708984,0.9984831249812909,65.34718605976579,0.9998426906730553,0.999973889230653,1253.7992379843781,1.0,27.79,1
c0_s2026_k1_p0.0020_noise_00,0,2026,0.002,0,dcs_paper_style,ok,0.0015956321513463034,-0.0015956321513463034,3.6514837167011076,2.0,4.0,0.0013490133189113219,0.0007623095072713478,43.377717670826016,0.9934566043076472,0.9958916276518313,197321.69638011412,1.0,62.136320806868106,0.9996828205484648,0.9999453259192908,2626.1197559604984,1.0,1023.74,25
c0_s2026_k1_p0.0020_noise_00,0,2026,0.002,0,sequential_paper_matched,ok,0.001521985867918684,-0.001521985867918684,2.581988897471611,1.3333333333333333,3.0,0.0012901859118634985,0.0006431503025520009,46.03130326116247,0.9956549720972511,0.9977699738965088,107106.61187771785,1.0,62.556967127603954,0.9997065655367668,0.9999503725321617,2383.690659901438,1.0,392.41,1
c0_s2026_k1_p0.0020_noise_00,0,2026,0.002,0,sequential_paper_no_prestitch,ok,1.3316127709931801e-05,1.3316127709931801e-05,0.0,0.0,0.0,8.685686436601977e-05,8.685686436601977e-05,74.16574077042154,0.9999659256345919,0.9999965723929529,164.578284270078,1.0,74.16574077042154,0.9999659256345919,0.9999965723929529,164.578284270078,1.0,25.45,1
c0_s2026_k1_p0.0020_noise_10,0,2026,0.002,10,dcs_paper_style,ok,0.0015956321513463034,-0.0015956321513463034,3.6514837167011076,2.0,4.0,0.0013490133189113219,0.0007623095072713478,43.377717670826016,0.9934566043076472,0.9958916276518313,197321.69638011412,1.0,62.136320806868106,0.9996828205484648,0.9999453259192908,2626.1197559604984,1.0,1096.37,25
c0_s2026_k1_p0.0020_noise_10,0,2026,0.002,10,sequential_paper_matched,ok,0.001521985867918684,-0.001521985867918684,2.581988897471611,1.3333333333333333,3.0,0.0012901859118634985,0.0006431503025520009,46.03130326116247,0.9956549720972511,0.9977699738965088,107106.61187771785,1.0,62.556967127603954,0.9997065655367668,0.9999503725321617,2383.690659901438,1.0,438.91,1
c0_s2026_k1_p0.0020_noise_10,0,2026,0.002,10,sequential_paper_no_prestitch,ok,0.0009980141024472236,0.0009980141024472236,1.8257418583505538,1.0,2.0,0.0009328822725588289,0.0002936796671279358,46.072928547491394,0.9963938643163301,0.9977909184295266,106084.94432201587,0.9984831249812909,65.20741553460225,0.9998448056870077,0.9999730353564307,1294.8070460499653,1.0,29.28,1
