case,crop_id,seed,k1_true,noise,method,status,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00010235709225573896,0.00010235709225573896,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,186.68,1
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0,sequential_paper_matched,ok,0.005380202677150277,0.005380202677150277,8.787617550976046,4.833333333333333,10.0,0.0038744456879953415,0.001443392579896437,35.33007720027733,0.978173034694091,0.9737716427453502,1258748.2723965724,0.9925606922706727,52.19555492550589,0.9980912104000337,0.9994603343350437,25905.44846233631,1.0,430.35,1
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00010235709225573896,0.00010235709225573896,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,199.04,1
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,10,sequential_paper_matched,ok,0.005380202677150277,0.005380202677150277,8.787617550976046,4.833333333333333,10.0,0.0038744456879953415,0.001443392579896437,35.33007720027733,0.978173034694091,0.9737716427453502,1258748.2723965724,0.9925606922706727,52.19555492550589,0.9980912104000337,0.9994603343350437,25905.44846233631,1.0,472.04,1
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,9.242452530747908e-05,9.242452530747908e-05,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,185.39,1
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0,sequential_paper_matched,ok,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,478.94,1
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,9.242452530747908e-05,9.242452530747908e-05,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,203.9,1
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,10,sequential_paper_matched,ok,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,521.69,1
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00010235709225573896,0.00010235709225573896,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,73.01802968735605,0.9999549621568892,0.9999955376380132,214.35994591491453,1.0,229.8,1
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,10,sequential_paper_matched,ok,0.005380202677150277,0.005380202677150277,8.787617550976046,4.833333333333333,10.0,0.0038744456879953415,0.001443392579896437,35.33007720027733,0.978173034694091,0.9737716427453502,1258748.2723965724,0.9925606922706727,52.19555492550589,0.9980912104000337,0.9994603343350437,25905.44846233631,1.0,599.92,1
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,9.242452530747908e-05,9.242452530747908e-05,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,73.44759623123662,0.9999596321910325,0.9999959562303962,194.17217010882644,1.0,220.34,1
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,10,sequential_paper_matched,ok,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,570.21,1
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00014220624365430097,0.00014220624365430097,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,218.87,1
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0,sequential_paper_matched,ok,0.005679854765071393,0.005679854765071393,10.23067283548187,5.666666666666667,11.0,0.007401985903797317,0.0021326329836589483,30.995946681521353,0.9680458837105135,0.9479007398723731,3414695.163076675,0.9916714350846572,49.20792579593354,0.9969088876938884,0.9992106584246335,51541.14092338292,1.0,571.39,1
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00014220624365430097,0.00014220624365430097,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,227.54,1
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,10,sequential_paper_matched,ok,0.006097152142422469,0.006097152142422469,10.954451150103322,6.0,12.0,0.00790347592475332,0.0023530478899264798,30.52384527671456,0.9655495434132232,0.9419407265159341,3806817.69947224,0.9909160198120571,48.68028201078167,0.9966632075712113,0.9991087019367266,58199.3864769081,1.0,601.7,1
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.0001299354141287364,0.0001299354141287364,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,218.55,1
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0,sequential_paper_matched,ok,0.0056622617132164235,-0.0056622617132164235,9.504384952922168,5.166666666666667,11.0,0.007063008516162127,0.0020238389196411146,33.78290921293087,0.9774593640822704,0.9723737616094235,1797445.3143450306,1.0,49.560719714721074,0.9970792222123586,0.9992722008433235,47519.803493491614,1.0,607.67,1
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.0001299354141287364,0.0001299354141287364,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,231.41,1
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,10,sequential_paper_matched,ok,0.00593531756540272,-0.00593531756540272,10.837178804672572,5.944444444444445,12.0,0.007378284672144823,0.002344000419741123,32.7890344589813,0.9739334887942879,0.9652522868703675,2259660.3316332903,1.0,49.21254333616517,0.9969280759186065,0.9992114386965149,51486.370064903254,1.0,641.53,1
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00014220624365430097,0.00014220624365430097,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,70.11117585148749,0.9999125569355585,0.9999935899061183,418.6287225141959,1.0,238.88,1
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,10,sequential_paper_matched,ok,0.005679854765071393,0.005679854765071393,10.23067283548187,5.666666666666667,11.0,0.007401985903797317,0.0021326329836589483,30.995946681521353,0.9680458837105135,0.9479007398723731,3414695.163076675,0.9916714350846572,49.20792579593354,0.9969088876938884,0.9992106584246335,51541.14092338292,1.0,704.3,1
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.0001299354141287364,0.0001299354141287364,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,70.55755544650123,0.9999216985345826,0.9999942153078191,377.7383360280412,1.0,249.74,1
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,10,sequential_paper_matched,ok,0.005743928635086328,-0.005743928635086328,9.814954576223638,5.388888888888889,11.0,0.007157806128537417,0.0020085069876417277,33.55622606565672,0.9764745358729372,0.9708929625656295,1893755.9090310128,1.0,49.45471794223132,0.9970337086678686,0.999254215820323,48693.92845451735,1.0,722.05,1
c2_s2026_k1_m0.0080_noise_00,2,2026,-0.008,0,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00012915573854504388,0.00012915573854504388,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,258.78,1
c2_s2026_k1_m0.0080_noise_00,2,2026,-0.008,0,sequential_paper_matched,ok,0.005570034875777809,0.005570034875777809,9.38083151964686,5.111111111111111,11.0,0.005328336071346128,0.0016381583936643628,35.31007009700241,0.9744787117802193,0.9821388031926056,1264560.4587353577,0.992178163447169,50.6605644681925,0.9972113741110168,0.9994779851123942,36888.429065575845,1.0,734.39,1
c2_s2026_k1_m0.0080_noise_10,2,2026,-0.008,10,oracle_k1_paper,ok,0.0,0.0,0.0,0.0,0.0,0.00012915573854504388,0.00012915573854504388,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,70.73893882331396,0.9999228261787214,0.9999948712595461,362.28697892860555,1.0,269.04,1
c2_s2026_k1_m0.0080_noise_10,2,2026,-0.008,10,sequential_paper_matched,ok,0.005570034875777809,0.005570034875777809,9.38083151964686,5.111111111111111,11.0,0.005328336071346128,0.0016381583936643628,35.31007009700241,0.9744787117802193,0.9821388031926056,1264560.4587353577,0.992178163447169,50.6605644681925,0.9972113741110168,0.9994779851123942,36888.429065575845,1.0,796.28,1
