case,crop_id,seed,k1_true,noise,method,status,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0,sequential_paper_bound_010,ok,0.005380377560296155,0.005380377560296155,9.043106644167024,5.0,11.0,0.0038745618969926593,0.0014320219214757866,35.09898686041008,0.9773894404605804,0.9723389983259547,1327540.9349055865,0.9921870862413967,52.19531092402907,0.9980911376915613,0.9994603040051491,25906.903959819145,1.0,191.19,1
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0,sequential_paper_bound_020,ok,0.005380701195914831,0.005380701195914831,9.195409482755814,5.055555555555555,10.0,0.0038747785948411093,0.0010920639694929702,35.09175927692803,0.9773047175348057,0.9722944159439006,1329752.0846556658,0.992427138189329,52.19485187995774,0.9980909977448804,0.9994602469396997,25909.642433295998,1.0,190.14,1
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0,sequential_paper_matched,ok,0.005380202677150277,0.005380202677150277,8.787617550976046,4.833333333333333,10.0,0.0038744456879953415,0.001443392579896437,35.33007720027733,0.978173034694091,0.9737716427453502,1258748.2723965724,0.9925606922706727,52.19555492550589,0.9980912104000337,0.9994603343350437,25905.44846233631,1.0,430.35,1
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,10,sequential_paper_bound_010,ok,0.005380377560296155,0.005380377560296155,9.043106644167024,5.0,11.0,0.0038745618969926593,0.0014320219214757866,35.09898686041008,0.9773894404605804,0.9723389983259547,1327540.9349055865,0.9921870862413967,52.19531092402907,0.9980911376915613,0.9994603040051491,25906.903959819145,1.0,203.76,1
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,10,sequential_paper_bound_020,ok,0.005380701195914831,0.005380701195914831,9.195409482755814,5.055555555555555,10.0,0.0038747785948411093,0.0010920639694929702,35.09175927692803,0.9773047175348057,0.9722944159439006,1329752.0846556658,0.992427138189329,52.19485187995774,0.9980909977448804,0.9994602469396997,25909.642433295998,1.0,203.75,1
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,10,sequential_paper_matched,ok,0.005380202677150277,0.005380202677150277,8.787617550976046,4.833333333333333,10.0,0.0038744456879953415,0.001443392579896437,35.33007720027733,0.978173034694091,0.9737716427453502,1258748.2723965724,0.9925606922706727,52.19555492550589,0.9980912104000337,0.9994603343350437,25905.44846233631,1.0,472.04,1
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0,sequential_paper_bound_010,ok,0.0052125272310826086,-0.0052125272310826086,8.537498983243799,4.666666666666667,10.0,0.0036357932362184623,0.0012646273463233675,36.597928676160635,0.9837073802588633,0.9804417829933476,940056.030785734,1.0,52.736822759447655,0.9982513047446011,0.9995240803596712,22869.903473095113,1.0,188.38,1
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0,sequential_paper_bound_020,ok,0.005212228490587019,-0.005212228490587019,8.537498983243799,4.666666666666667,10.0,0.003635610926189791,0.001185219054193329,36.60200176229799,0.9836935662574935,0.9804603227511992,939174.8005599382,1.0,52.73725119136923,0.9982514234916849,0.9995241273047348,22867.647466210674,1.0,190.99,1
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0,sequential_paper_matched,ok,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,478.94,1
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,10,sequential_paper_bound_010,ok,0.0052125272310826086,-0.0052125272310826086,8.537498983243799,4.666666666666667,10.0,0.0036357932362184623,0.0012646273463233675,36.597928676160635,0.9837073802588633,0.9804417829933476,940056.030785734,1.0,52.736822759447655,0.9982513047446011,0.9995240803596712,22869.903473095113,1.0,208.66,1
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,10,sequential_paper_bound_020,ok,0.005212228490587019,-0.005212228490587019,8.537498983243799,4.666666666666667,10.0,0.003635610926189791,0.001185219054193329,36.60200176229799,0.9836935662574935,0.9804603227511992,939174.8005599382,1.0,52.73725119136923,0.9982514234916849,0.9995241273047348,22867.647466210674,1.0,212.3,1
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,10,sequential_paper_matched,ok,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,521.69,1
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,10,sequential_paper_bound_010,ok,0.005380377560296155,0.005380377560296155,9.043106644167024,5.0,11.0,0.0038745618969926593,0.0014320219214757866,35.09898686041008,0.9773894404605804,0.9723389983259547,1327540.9349055865,0.9921870862413967,52.19531092402907,0.9980911376915613,0.9994603040051491,25906.903959819145,1.0,237.38,1
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,10,sequential_paper_bound_020,ok,0.005380701195914831,0.005380701195914831,9.195409482755814,5.055555555555555,10.0,0.0038747785948411093,0.0010920639694929702,35.09175927692803,0.9773047175348057,0.9722944159439006,1329752.0846556658,0.992427138189329,52.19485187995774,0.9980909977448804,0.9994602469396997,25909.642433295998,1.0,235.8,1
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,10,sequential_paper_matched,ok,0.005380202677150277,0.005380202677150277,8.787617550976046,4.833333333333333,10.0,0.0038744456879953415,0.001443392579896437,35.33007720027733,0.978173034694091,0.9737716427453502,1258748.2723965724,0.9925606922706727,52.19555492550589,0.9980912104000337,0.9994603343350437,25905.44846233631,1.0,599.92,1
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,10,sequential_paper_bound_010,ok,0.0052125272310826086,-0.0052125272310826086,8.537498983243799,4.666666666666667,10.0,0.0036357932362184623,0.0012646273463233675,36.597928676160635,0.9837073802588633,0.9804417829933476,940056.030785734,1.0,52.736822759447655,0.9982513047446011,0.9995240803596712,22869.903473095113,1.0,226.19,1
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,10,sequential_paper_bound_020,ok,0.005212228490587019,-0.005212228490587019,8.537498983243799,4.666666666666667,10.0,0.003635610926189791,0.001185219054193329,36.60200176229799,0.9836935662574935,0.9804603227511992,939174.8005599382,1.0,52.73725119136923,0.9982514234916849,0.9995241273047348,22867.647466210674,1.0,223.43,1
c0_s2027_k1_p0.0080_noise_10,0,2027,0.008,10,sequential_paper_matched,ok,0.005212359827298079,-0.005212359827298079,8.595864638818417,4.722222222222222,10.0,0.003635694439466398,0.0011616778171873357,36.545643720229826,0.9835539240915946,0.9802053264528301,951441.8175365205,1.0,52.73706227456139,0.9982513711897913,0.9995241066184712,22868.642223709274,1.0,570.21,1
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0,sequential_paper_bound_010,ok,0.005680522336294456,0.005680522336294456,10.598742063723098,5.833333333333333,12.0,0.007402805207249517,0.002340503788093666,30.786014015721946,0.9668414854270323,0.9453306195103016,3583811.88973541,0.9912936554903392,49.207050839918594,0.9969084867181659,0.9992104993792285,51551.52576043075,1.0,225.72,1
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0,sequential_paper_bound_020,ok,0.005680223880773865,0.005680223880773865,10.23067283548187,5.666666666666667,11.0,0.007402433545876696,0.0021324882723661592,30.995936824294862,0.9680458168123679,0.9479006220203714,3414702.913454176,0.9916714350846572,49.20744177746019,0.9969086672219195,0.9992105704434289,51546.8854712858,1.0,227.6,1
c1_s2026_k1_m0.0080_noise_00,1,2026,-0.008,0,sequential_paper_matched,ok,0.005679854765071393,0.005679854765071393,10.23067283548187,5.666666666666667,11.0,0.007401985903797317,0.0021326329836589483,30.995946681521353,0.9680458837105135,0.9479007398723731,3414695.163076675,0.9916714350846572,49.20792579593354,0.9969088876938884,0.9992106584246335,51541.14092338292,1.0,571.39,1
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,10,sequential_paper_bound_010,ok,0.006097377647616797,0.006097377647616797,11.020183503211026,6.055555555555555,12.0,0.007903748134367984,0.0024110365311630034,30.492161542950033,0.9652850551161649,0.9415142672174566,3834691.6980570457,0.9909160198120571,48.68000851955739,0.9966630749798592,0.9991086458174631,58203.05162194452,1.0,231.84,1
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,10,sequential_paper_bound_020,ok,0.006097607257262912,0.006097607257262912,10.954451150103322,6.0,12.0,0.007904022909423172,0.002352947128156142,30.523833550447126,0.9655494513566635,0.9419405715044663,3806827.978171265,0.9909160198120571,48.679729991264395,0.9966629377847249,0.9991085886602689,58206.78450761143,1.0,232.16,1
c1_s2026_k1_m0.0080_noise_10,1,2026,-0.008,10,sequential_paper_matched,ok,0.006097152142422469,0.006097152142422469,10.954451150103322,6.0,12.0,0.00790347592475332,0.0023530478899264798,30.52384527671456,0.9655495434132232,0.9419407265159341,3806817.69947224,0.9909160198120571,48.68028201078167,0.9966632075712113,0.9991087019367266,58199.3864769081,1.0,601.7,1
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0,sequential_paper_bound_010,ok,0.005662239406673156,-0.005662239406673156,9.938701010583715,5.5,11.0,0.007062980623819417,0.0021517924211914663,33.459339308804005,0.9761721617393095,0.9702388023459857,1936478.487119164,1.0,49.56074851723086,0.997079233566267,0.9992722056708272,47519.488342108496,1.0,229.79,1
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0,sequential_paper_bound_020,ok,0.005661356774449089,-0.005661356774449089,9.689627902499089,5.277777777777778,11.0,0.007061960397248793,0.002302038678802015,33.65216112495169,0.9768788836358057,0.9715281202549312,1852381.756142727,1.0,49.561905954254314,0.99707973172702,0.999272399623034,47506.82562384723,1.0,226.18,1
c1_s2026_k1_p0.0080_noise_00,1,2026,0.008,0,sequential_paper_matched,ok,0.0056622617132164235,-0.0056622617132164235,9.504384952922168,5.166666666666667,11.0,0.007063008516162127,0.0020238389196411146,33.78290921293087,0.9774593640822704,0.9723737616094235,1797445.3143450306,1.0,49.560719714721074,0.9970792222123586,0.9992722008433235,47519.803493491614,1.0,607.67,1
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,10,sequential_paper_bound_010,ok,0.005935830826387737,-0.005935830826387737,10.23067283548187,5.666666666666667,11.0,0.0073788814918614365,0.0020128862833134267,33.229533457756965,0.9753929810002198,0.9686146561522322,2041706.2665691972,1.0,49.21190464499571,0.9969277943223332,0.9992113226951721,51493.942417170205,1.0,244.09,1
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,10,sequential_paper_bound_020,ok,0.005934879367470027,-0.005934879367470027,10.30102476024163,5.611111111111111,12.0,0.0073777853391680925,0.002176103949825781,33.185496181897605,0.9753094821086897,0.9682912079103504,2062514.3998302256,1.0,49.2130875106147,0.9969283141010501,0.9992115375189518,51479.919185829924,1.0,245.01,1
c1_s2026_k1_p0.0080_noise_10,1,2026,0.008,10,sequential_paper_matched,ok,0.00593531756540272,-0.00593531756540272,10.837178804672572,5.944444444444445,12.0,0.007378284672144823,0.002344000419741123,32.7890344589813,0.9739334887942879,0.9652522868703675,2259660.3316332903,1.0,49.21254333616517,0.9969280759186065,0.9992114386965149,51486.370064903254,1.0,641.53,1
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,10,sequential_paper_bound_010,ok,0.005680522336294456,0.005680522336294456,10.598742063723098,5.833333333333333,12.0,0.007402805207249517,0.002340503788093666,30.786014015721946,0.9668414854270323,0.9453306195103016,3583811.88973541,0.9912936554903392,49.207050839918594,0.9969084867181659,0.9992104993792285,51551.52576043075,1.0,262.63,1
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,10,sequential_paper_bound_020,ok,0.005680223880773865,0.005680223880773865,10.23067283548187,5.666666666666667,11.0,0.007402433545876696,0.0021324882723661592,30.995936824294862,0.9680458168123679,0.9479006220203714,3414702.913454176,0.9916714350846572,49.20744177746019,0.9969086672219195,0.9992105704434289,51546.8854712858,1.0,257.27,1
c1_s2027_k1_m0.0080_noise_10,1,2027,-0.008,10,sequential_paper_matched,ok,0.005679854765071393,0.005679854765071393,10.23067283548187,5.666666666666667,11.0,0.007401985903797317,0.0021326329836589483,30.995946681521353,0.9680458837105135,0.9479007398723731,3414695.163076675,0.9916714350846572,49.20792579593354,0.9969088876938884,0.9992106584246335,51541.14092338292,1.0,704.3,1
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,10,sequential_paper_bound_010,ok,0.005743508764902794,-0.005743508764902794,9.632122184533259,5.277777777777778,11.0,0.007157321424030053,0.001972938801182824,33.71518857192386,0.9769313315428649,0.9719404048474961,1825692.9997066811,1.0,49.45526028677314,0.9970339468570776,0.9992543089677708,48687.847963393804,1.0,265.04,1
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,10,sequential_paper_bound_020,ok,0.005743196275273119,-0.005743196275273119,9.93310961716756,5.444444444444445,11.0,0.007156966083225668,0.0021618120374077604,33.46432860971499,0.9762736213954573,0.9702713201533485,1934255.0818949724,1.0,49.45566338209811,0.9970341190319745,0.9992543781867855,48683.32915554675,1.0,258.7,1
c1_s2027_k1_p0.0080_noise_10,1,2027,0.008,10,sequential_paper_matched,ok,0.005743928635086328,-0.005743928635086328,9.814954576223638,5.388888888888889,11.0,0.007157806128537417,0.0020085069876417277,33.55622606565672,0.9764745358729372,0.9708929625656295,1893755.9090310128,1.0,49.45471794223132,0.9970337086678686,0.999254215820323,48693.92845451735,1.0,722.05,1
