method,k1_true,k2_true,noise,n,median_k1_error,median_position_rmse
dcs_paper_iter_1,-0.008,0.0,0,4,0.006994197646094106,14.012624784929006
dcs_paper_iter_1,-0.008,0.0,10,8,0.006991715565624649,14.012624784929006
dcs_paper_iter_1,0.0,0.0,0,4,4.876739260050624e-07,0.0
dcs_paper_iter_1,0.0,0.0,10,8,4.876739260050624e-07,0.0
dcs_paper_iter_1,0.008,0.0,0,4,0.0069452037356710974,13.615877363782213
dcs_paper_iter_1,0.008,0.0,10,8,0.006949020815418408,13.801433970633255
dcs_paper_iter_2,-0.008,0.0,0,4,0.006101766909345133,12.979236412247653
dcs_paper_iter_2,-0.008,0.0,10,8,0.006101766909345133,12.979236412247653
dcs_paper_iter_2,0.0,0.0,0,4,7.53841169616328e-07,0.0
dcs_paper_iter_2,0.0,0.0,10,8,7.53841169616328e-07,0.0
dcs_paper_iter_2,0.008,0.0,0,4,0.006138275274029778,12.915415622571855
dcs_paper_iter_2,0.008,0.0,10,8,0.006102775921694304,12.955721526439543
dcs_paper_iter_5,-0.008,0.0,0,4,0.004340553347993803,9.667137986377139
dcs_paper_iter_5,-0.008,0.0,10,8,0.004340553347993803,9.667137986377139
dcs_paper_iter_5,0.0,0.0,0,4,9.786657193182192e-07,0.0
dcs_paper_iter_5,0.0,0.0,10,8,9.786657193182192e-07,0.0
dcs_paper_iter_5,0.008,0.0,0,4,0.004407169127064032,9.39545417084898
dcs_paper_iter_5,0.008,0.0,10,8,0.0043412161722212565,9.36805878625238
dcs_paper_iter_10,-0.008,0.0,0,4,0.003306876728812433,7.480214579822293
dcs_paper_iter_10,-0.008,0.0,10,8,0.003306876728812433,7.480214579822293
dcs_paper_iter_10,0.0,0.0,0,4,9.63448814215052e-07,0.0
dcs_paper_iter_10,0.0,0.0,10,8,9.63448814215052e-07,0.0
dcs_paper_iter_10,0.008,0.0,0,4,0.0034616698319569874,7.019755167742174
dcs_paper_iter_10,0.008,0.0,10,8,0.0035085583214766306,7.280073892880647
dcs_paper_style,-0.008,0.0,0,4,0.002663715626649685,5.729871697486793
dcs_paper_style,-0.008,0.0,10,8,0.002730376224697271,5.686240703077327
dcs_paper_style,0.0,0.0,0,4,5.836335013745869e-07,0.0
dcs_paper_style,0.0,0.0,10,8,5.836335013745869e-07,0.0
dcs_paper_style,0.008,0.0,0,4,0.0030532047740437188,5.923858080425833
dcs_paper_style,0.008,0.0,10,8,0.003211493933382631,6.449314566605333
