comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
1 iteration - 25 iterations,-0.008,0.0,0,k1_err,4,0.004346242991352845,0.004201236966260495,0.004524504228142898
1 iteration - 25 iterations,-0.008,0.0,0,k1_signed,4,0.004346242991352845,0.004201236966260495,0.004524504228142898
1 iteration - 25 iterations,-0.008,0.0,0,pos_rmse,4,8.32280997448688,7.9560139167100905,8.840037452625724
1 iteration - 25 iterations,-0.008,0.0,0,pos_mae,4,4.527777777777779,4.222222222222223,4.777777777777778
1 iteration - 25 iterations,-0.008,0.0,0,pos_max,4,9.5,9.0,10.0
1 iteration - 25 iterations,-0.008,0.0,0,seam_true,4,0.0034431942899940085,0.002672067709342043,0.005267298728331002
1 iteration - 25 iterations,-0.008,0.0,0,seam_est,4,0.0013801797075789876,0.0010448533679108018,0.0020205124534851985
1 iteration - 25 iterations,-0.008,0.0,0,psnr,4,-5.966505732687898,-6.373140316862795,-5.884300010623704
1 iteration - 25 iterations,-0.008,0.0,0,ssim,4,-0.0241522415285218,-0.030192764650578297,-0.02120300237920969
1 iteration - 25 iterations,-0.008,0.0,0,ncc,4,-0.036264935477515414,-0.06595834188743555,-0.022695947187100107
1 iteration - 25 iterations,-0.008,0.0,0,mse,4,2089790.100945762,1608249.9757361086,4333878.676323414
1 iteration - 25 iterations,-0.008,0.0,0,coverage_fraction,4,-0.0069884907467744894,-0.007430097103027777,-0.006800608361867022
1 iteration - 25 iterations,-0.008,0.0,0,distortion_psnr,4,-7.191118730273136,-7.684767133472022,-7.020992599967762
1 iteration - 25 iterations,-0.008,0.0,0,distortion_ssim,4,-0.0026849908869447936,-0.005635977238052869,-0.001819756237007808
1 iteration - 25 iterations,-0.008,0.0,0,distortion_ncc,4,-0.0007991357680992572,-0.0018088837215284315,-0.0006131922660033151
1 iteration - 25 iterations,-0.008,0.0,0,distortion_mse,4,52121.277979296705,31926.57375382924,127735.06090352143
1 iteration - 25 iterations,-0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
1 iteration - 25 iterations,-0.008,0.0,0,time_s,4,-550.065,-1997.2299999999998,-364.80000000000007
1 iteration - 25 iterations,-0.008,0.0,0,iterations,4,-24.0,-24.0,-24.0
1 iteration - 25 iterations,-0.008,0.0,10,k1_err,8,0.004337857571722399,0.004201236966260495,0.00435462841098329
1 iteration - 25 iterations,-0.008,0.0,10,k1_signed,8,0.004337857571722399,0.004201236966260495,0.00435462841098329
1 iteration - 25 iterations,-0.008,0.0,10,pos_rmse,8,8.32280997448688,7.9560139167100905,8.840037452625724
1 iteration - 25 iterations,-0.008,0.0,10,pos_mae,8,4.527777777777779,4.222222222222223,4.777777777777778
1 iteration - 25 iterations,-0.008,0.0,10,pos_max,8,9.5,9.0,10.0
1 iteration - 25 iterations,-0.008,0.0,10,seam_true,8,0.0034431942899940085,0.002672067709342043,0.0050158107771942455
1 iteration - 25 iterations,-0.008,0.0,10,seam_est,8,0.0013801797075789876,0.0010448533679108018,0.0020205124534851985
1 iteration - 25 iterations,-0.008,0.0,10,psnr,8,-5.966505732687898,-6.373140316862795,-5.884300010623704
1 iteration - 25 iterations,-0.008,0.0,10,ssim,8,-0.0241522415285218,-0.030192764650578297,-0.02120300237920969
1 iteration - 25 iterations,-0.008,0.0,10,ncc,8,-0.036264935477515414,-0.06595834188743555,-0.022695947187100107
1 iteration - 25 iterations,-0.008,0.0,10,mse,8,2089790.100945762,1608249.9757361086,4333878.676323414
1 iteration - 25 iterations,-0.008,0.0,10,coverage_fraction,8,-0.0069884907467744894,-0.007430097103027777,-0.006800608361867022
1 iteration - 25 iterations,-0.008,0.0,10,distortion_psnr,8,-7.090499009173794,-7.296967335864977,-7.020992599967762
