case,crop_id,seed,k1_true,k2_true,noise,method,status,protocol_version,mi_quantization,warp_backend,k1_err,k1_signed,pos_rmse,pos_mae,pos_max,seam_true,seam_est,psnr,ssim,ncc,mse,coverage_fraction,distortion_psnr,distortion_ssim,distortion_ncc,distortion_mse,distortion_coverage_fraction,time_s,iterations,pre_rmse,pre_mae,at_bound
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.006934912600324498,0.006934912600324498,13.711309200802088,7.555555555555555,16.0,0.004799486445967692,0.002152783725024654,32.21981077487577,0.964064712592698,0.946299360492376,2576116.682483005,0.9882793341177717,50.39237906681561,0.9974584240959624,0.9991824714248188,39238.166061493735,1.0,278.75,1,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0033729759145019068,0.0033729759145019068,7.26483157256779,4.055555555555555,8.0,0.0026248430256069306,0.0013638778913137029,36.71893566838732,0.982666455944958,0.9809588559313476,914224.8895836576,0.9936901453206565,55.728589990350336,0.9989570834971628,0.9997608068383864,11483.852573150361,1.0,387.28,10,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005945751139972876,0.005945751139972876,12.069244660154448,6.722222222222222,14.0,0.004248067221126702,0.0018125236313240288,33.134289177493336,0.9689612170470199,0.9565080020217234,2086977.1294080422,0.9897882937545046,51.45084427323623,0.9978539676403562,0.999359353349544,30751.20795511,1.0,314.51,2,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,dcs_paper_iter_5,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0041924085906159606,0.0041924085906159606,9.140872800534726,5.111111111111111,10.0,0.0031142135234443974,0.0016002478487069417,35.10538126766454,0.9774179561109477,0.972385777158481,1325587.7461215856,0.992178163447169,54.09449321597221,0.9986069225644909,0.9996515153532843,16730.051811382997,1.0,443.7,5,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_00,0,2026,-0.008,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,898.45,25,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.006934912600324498,0.006934912600324498,13.711309200802088,7.555555555555555,16.0,0.004799486445967692,0.002152783725024654,32.21981077487577,0.964064712592698,0.946299360492376,2576116.682483005,0.9882793341177717,50.39237906681561,0.9974584240959624,0.9991824714248188,39238.166061493735,1.0,370.27,1,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0033729759145019068,0.0033729759145019068,7.26483157256779,4.055555555555555,8.0,0.0026248430256069306,0.0013638778913137029,36.71893566838732,0.982666455944958,0.9809588559313476,914224.8895836576,0.9936901453206565,55.728589990350336,0.9989570834971628,0.9997608068383864,11483.852573150361,1.0,468.85,10,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005945751139972876,0.005945751139972876,12.069244660154448,6.722222222222222,14.0,0.004248067221126702,0.0018125236313240288,33.134289177493336,0.9689612170470199,0.9565080020217234,2086977.1294080422,0.9897882937545046,51.45084427323623,0.9978539676403562,0.999359353349544,30751.20795511,1.0,318.89,2,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,dcs_paper_iter_5,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0041924085906159606,0.0041924085906159606,9.140872800534726,5.111111111111111,10.0,0.0031142135234443974,0.0016002478487069417,35.10538126766454,0.9774179561109477,0.972385777158481,1325587.7461215856,0.992178163447169,54.09449321597221,0.9986069225644909,0.9996515153532843,16730.051811382997,1.0,334.52,5,12.978614889287858,7.222222222222222,False
c0_s2026_k1_m0.0080_noise_10,0,2026,-0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,1233.34,25,12.978614889287858,7.222222222222222,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.497634159970896e-07,-4.497634159970896e-07,0.0,0.0,0.0,6.550060910326418e-10,6.550060910326418e-10,143.88477588699695,0.9999999999983691,0.999999999999647,1.755775638353969e-05,1.0,143.88477588699695,0.9999999999983691,0.999999999999647,1.755775638353969e-05,1.0,225.21,1,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,8.833807704797231e-07,-8.833807704797231e-07,0.0,0.0,0.0,7.516194894599564e-08,7.516194894599564e-08,130.4712821552974,0.9999999999550382,0.9999999999919883,0.0003853171966998326,1.0,130.4712821552974,0.9999999999550382,0.9999999999919883,0.0003853171966998326,1.0,459.75,10,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,7.298448073538633e-07,-7.298448073538633e-07,0.0,0.0,0.0,3.335072680174534e-08,3.335072680174534e-08,134.14422906952097,0.9999999999803018,0.9999999999965571,0.00016539550429330317,1.0,134.14422906952097,0.9999999999803018,0.9999999999965571,0.00016539550429330317,1.0,377.92,2,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,dcs_paper_iter_5,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,9.14747233145297e-07,-9.14747233145297e-07,0.0,0.0,0.0,8.886249301676173e-08,8.886249301676173e-08,129.5808726494948,0.9999999999467134,0.999999999990164,0.00047299804159058306,1.0,129.5808726494948,0.9999999999467134,0.999999999990164,0.00047299804159058306,1.0,249.89,5,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_00,0,2026,0.0,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.917672419540378e-07,-4.917672419540378e-07,0.0,0.0,0.0,1.4737637048234438e-09,1.4737637048234438e-09,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,817.7,25,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_10,0,2026,0.0,0.0,10,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.497634159970896e-07,-4.497634159970896e-07,0.0,0.0,0.0,6.550060910326418e-10,6.550060910326418e-10,143.88477588699695,0.9999999999983691,0.999999999999647,1.755775638353969e-05,1.0,143.88477588699695,0.9999999999983691,0.999999999999647,1.755775638353969e-05,1.0,269.95,1,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_10,0,2026,0.0,0.0,10,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,8.833807704797231e-07,-8.833807704797231e-07,0.0,0.0,0.0,7.516194894599564e-08,7.516194894599564e-08,130.4712821552974,0.9999999999550382,0.9999999999919883,0.0003853171966998326,1.0,130.4712821552974,0.9999999999550382,0.9999999999919883,0.0003853171966998326,1.0,657.11,10,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_10,0,2026,0.0,0.0,10,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,7.298448073538633e-07,-7.298448073538633e-07,0.0,0.0,0.0,3.335072680174534e-08,3.335072680174534e-08,134.14422906952097,0.9999999999803018,0.9999999999965571,0.00016539550429330317,1.0,134.14422906952097,0.9999999999803018,0.9999999999965571,0.00016539550429330317,1.0,226.19,2,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_10,0,2026,0.0,0.0,10,dcs_paper_iter_5,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,9.14747233145297e-07,-9.14747233145297e-07,0.0,0.0,0.0,8.886249301676173e-08,8.886249301676173e-08,129.5808726494948,0.9999999999467134,0.999999999990164,0.00047299804159058306,1.0,129.5808726494948,0.9999999999467134,0.999999999990164,0.00047299804159058306,1.0,353.78,5,0.0,0.0,False
c0_s2026_k1_p0.0000_noise_10,0,2026,0.0,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.917672419540378e-07,-4.917672419540378e-07,0.0,0.0,0.0,1.4737637048234438e-09,1.4737637048234438e-09,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,143.17229566012776,0.9999999999978653,0.9999999999995709,2.0687930165031398e-05,1.0,509.46,25,0.0,0.0,False
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0.0,0,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.006850660270212353,-0.006850660270212353,13.287420951996499,7.277777777777778,16.0,0.004605873850525444,0.0019166262749190806,33.2192721300002,0.9735613030146274,0.9574206279030371,2046536.027982851,1.0,50.775349090254245,0.9976109399250318,0.9992524608259659,35926.2343496438,1.0,223.54,1,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0.0,0,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003432675491836619,-0.003432675491836619,7.2571803523590805,4.0,8.0,0.002566643005226634,0.00114292024340852,37.93893303034451,0.9863641183617206,0.9856310104311757,690324.527787856,1.0,55.897452974217785,0.9989862928677552,0.9997700789623751,11045.905161320163,1.0,336.05,10,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0.0,0,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005960852029176298,-0.005960852029176298,12.004628736912737,6.611111111111111,14.0,0.004114021316273691,0.0018744550780121405,33.96797094197145,0.9763509006562276,0.9641633294064559,1722461.4598614257,1.0,51.73120470590388,0.9979493883826034,0.9994000999007684,28828.77156923599,1.0,219.59,2,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0.0,0,dcs_paper_iter_5,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.004218830510518639,-0.004218830510518639,8.787617550976046,4.833333333333333,10.0,0.0030196838085603393,0.0013389864028982698,36.39785210092159,0.9833320755999366,0.9795133890986705,984376.8630818143,1.0,54.34469997259328,0.9986639026667595,0.999671305364728,15793.435469938388,1.0,260.58,5,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_00,0,2026,0.008,0.0,0,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003390130054998627,-0.003390130054998627,7.086763875156433,3.888888888888889,8.0,0.0025417164209293416,0.0011818800926700146,38.034800296052836,0.9867607579911944,0.9859448831613833,675253.0864281068,1.0,55.9907416358049,0.9990035034971713,0.9997749635169664,10811.163714223194,1.0,522.81,25,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,0.0,10,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.006850660270212353,-0.006850660270212353,13.287420951996499,7.277777777777778,16.0,0.004605873850525444,0.0019166262749190806,33.2192721300002,0.9735613030146274,0.9574206279030371,2046536.027982851,1.0,50.775349090254245,0.9976109399250318,0.9992524608259659,35926.2343496438,1.0,221.23,1,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,0.0,10,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003432675491836619,-0.003432675491836619,7.2571803523590805,4.0,8.0,0.002566643005226634,0.00114292024340852,37.93893303034451,0.9863641183617206,0.9856310104311757,690324.527787856,1.0,55.897452974217785,0.9989862928677552,0.9997700789623751,11045.905161320163,1.0,378.28,10,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,0.0,10,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005960852029176298,-0.005960852029176298,12.004628736912737,6.611111111111111,14.0,0.004114021316273691,0.0018744550780121405,33.96797094197145,0.9763509006562276,0.9641633294064559,1722461.4598614257,1.0,51.73120470590388,0.9979493883826034,0.9994000999007684,28828.77156923599,1.0,442.94,2,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,0.0,10,dcs_paper_iter_5,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.004218830510518639,-0.004218830510518639,8.787617550976046,4.833333333333333,10.0,0.0030196838085603393,0.0013389864028982698,36.39785210092159,0.9833320755999366,0.9795133890986705,984376.8630818143,1.0,54.34469997259328,0.9986639026667595,0.999671305364728,15793.435469938388,1.0,256.21,5,12.556538801224908,6.944444444444445,False
c0_s2026_k1_p0.0080_noise_10,0,2026,0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.003390130054998627,-0.003390130054998627,7.086763875156433,3.888888888888889,8.0,0.0025417164209293416,0.0011818800926700146,38.034800296052836,0.9867607579911944,0.9859448831613833,675253.0864281068,1.0,55.9907416358049,0.9990035034971713,0.9997749635169664,10811.163714223194,1.0,544.36,25,12.556538801224908,6.944444444444445,False
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,0.0,10,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.006934912600324498,0.006934912600324498,13.711309200802088,7.555555555555555,16.0,0.004799486445967692,0.002152783725024654,32.21981077487577,0.964064712592698,0.946299360492376,2576116.682483005,0.9882793341177717,50.39237906681561,0.9974584240959624,0.9991824714248188,39238.166061493735,1.0,248.08,1,12.978614889287858,7.222222222222222,False
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,0.0,10,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0033729759145019068,0.0033729759145019068,7.26483157256779,4.055555555555555,8.0,0.0026248430256069306,0.0013638778913137029,36.71893566838732,0.982666455944958,0.9809588559313476,914224.8895836576,0.9936901453206565,55.728589990350336,0.9989570834971628,0.9997608068383864,11483.852573150361,1.0,382.1,10,12.978614889287858,7.222222222222222,False
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,0.0,10,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.005945751139972876,0.005945751139972876,12.069244660154448,6.722222222222222,14.0,0.004248067221126702,0.0018125236313240288,33.134289177493336,0.9689612170470199,0.9565080020217234,2086977.1294080422,0.9897882937545046,51.45084427323623,0.9978539676403562,0.999359353349544,30751.20795511,1.0,333.69,2,12.978614889287858,7.222222222222222,False
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,0.0,10,dcs_paper_iter_5,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.0041924085906159606,0.0041924085906159606,9.140872800534726,5.111111111111111,10.0,0.0031142135234443974,0.0016002478487069417,35.10538126766454,0.9774179561109477,0.972385777158481,1325587.7461215856,0.992178163447169,54.09449321597221,0.9986069225644909,0.9996515153532843,16730.051811382997,1.0,498.36,5,12.978614889287858,7.222222222222222,False
c0_s2027_k1_m0.0080_noise_10,0,2027,-0.008,0.0,10,dcs_paper_style,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,0.002597055028602099,0.002597055028602099,5.5677643628300215,3.1666666666666665,6.0,0.0021274187366256488,0.0011079303571138524,38.59295109173856,0.9873174043252968,0.9876330349524155,593815.457377481,0.9952032785224313,57.689346402680584,0.9992781803329702,0.9998477180710463,7311.592307664493,1.0,614.15,25,12.978614889287858,7.222222222222222,False
c0_s2027_k1_p0.0000_noise_10,0,2027,0.0,0.0,10,dcs_paper_iter_1,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,4.497634159970896e-07,-4.497634159970896e-07,0.0,0.0,0.0,6.550060910326418e-10,6.550060910326418e-10,143.88477588699695,0.9999999999983691,0.999999999999647,1.755775638353969e-05,1.0,143.88477588699695,0.9999999999983691,0.999999999999647,1.755775638353969e-05,1.0,237.52,1,0.0,0.0,False
c0_s2027_k1_p0.0000_noise_10,0,2027,0.0,0.0,10,dcs_paper_iter_10,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,8.833807704797231e-07,-8.833807704797231e-07,0.0,0.0,0.0,7.516194894599564e-08,7.516194894599564e-08,130.4712821552974,0.9999999999550382,0.9999999999919883,0.0003853171966998326,1.0,130.4712821552974,0.9999999999550382,0.9999999999919883,0.0003853171966998326,1.0,366.25,10,0.0,0.0,False
c0_s2027_k1_p0.0000_noise_10,0,2027,0.0,0.0,10,dcs_paper_iter_2,ok,2026-08-11-rigorous-v12,"{""algorithm"": ""MiniBatchKMeans"", ""batch_size"": 10000, ""max_iter"": 300, ""random_seed"": 1000}",torch_grid_sample_bicubic,7.298448073538633e-07,-7.298448073538633e-07,0.0,0.0,0.0,3.335072680174534e-08,3.335072680174534e-08,134.14422906952097,0.9999999999803018,0.9999999999965571,0.00016539550429330317,1.0,134.14422906952097,0.9999999999803018,0.9999999999965571,0.00016539550429330317,1.0,251.22,2,0.0,0.0,False
