comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
oracle k1 - sequential,-0.008,0.0,0,k1_err,4,-0.005511762681084532,-0.005679854765071393,-0.005380202677150277
oracle k1 - sequential,-0.008,0.0,0,k1_signed,4,-0.005511762681084532,-0.005679854765071393,-0.005380202677150277
oracle k1 - sequential,-0.008,0.0,0,pos_rmse,4,-9.595062083010816,-10.23067283548187,-8.787617550976046
oracle k1 - sequential,-0.008,0.0,0,pos_mae,4,-5.222222222222221,-5.666666666666667,-4.833333333333333
oracle k1 - sequential,-0.008,0.0,0,pos_max,4,-11.0,-11.0,-10.0
oracle k1 - sequential,-0.008,0.0,0,seam_true,4,-0.005275928187953072,-0.007259779660143016,-0.0037720885957396024
oracle k1 - sequential,-0.008,0.0,0,seam_est,4,-0.0015983894501539362,-0.0019904267400046474,-0.001341035487640698
oracle k1 - sequential,-0.008,0.0,0,psnr,4,37.20174709863379,35.42886872631155,39.115229169966135
oracle k1 - sequential,-0.008,0.0,0,ssim,4,0.028655393811773566,0.021781927462798167,0.03374997756342113
oracle k1 - sequential,-0.008,0.0,0,ncc,4,0.024955976597902496,0.01785606806694051,0.0520928500337452
oracle k1 - sequential,-0.008,0.0,0,mse,4,-1465796.6810395913,-3414276.534354161,-1258533.9124506575
oracle k1 - sequential,-0.008,0.0,0,coverage_fraction,4,0.00801072634998995,0.007439307729327327,0.00832856491534284
oracle k1 - sequential,-0.008,0.0,0,distortion_psnr,4,20.862862408702053,20.07837435512146,24.846693738254956
oracle k1 - sequential,-0.008,0.0,0,distortion_ssim,4,0.002857560654687341,0.0018637517568554918,0.005754592264487046
oracle k1 - sequential,-0.008,0.0,0,distortion_ncc,4,0.0006590673922271528,0.0005168861471519515,0.0015323030444692742
oracle k1 - sequential,-0.008,0.0,0,distortion_mse,4,-43824.32714375798,-108098.890187927,-25691.088516421394
oracle k1 - sequential,-0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
oracle k1 - sequential,-0.008,0.0,0,time_s,4,-298.98,-475.61,-243.67000000000002
oracle k1 - sequential,-0.008,0.0,0,iterations,4,0.0,0.0,0.0
oracle k1 - sequential,-0.008,0.0,10,k1_err,8,-0.005511762681084532,-0.005679854765071393,-0.005380202677150277
oracle k1 - sequential,-0.008,0.0,10,k1_signed,8,-0.005511762681084532,-0.005679854765071393,-0.005380202677150277
oracle k1 - sequential,-0.008,0.0,10,pos_rmse,8,-9.595062083010816,-10.23067283548187,-8.787617550976046
oracle k1 - sequential,-0.008,0.0,10,pos_mae,8,-5.222222222222221,-5.666666666666667,-4.833333333333333
oracle k1 - sequential,-0.008,0.0,10,pos_max,8,-11.0,-11.0,-10.0
oracle k1 - sequential,-0.008,0.0,10,seam_true,8,-0.005275928187953072,-0.007259779660143016,-0.0037720885957396024
oracle k1 - sequential,-0.008,0.0,10,seam_est,8,-0.0015983894501539362,-0.0019904267400046474,-0.001341035487640698
oracle k1 - sequential,-0.008,0.0,10,psnr,8,37.20174709863379,35.42886872631155,39.115229169966135
oracle k1 - sequential,-0.008,0.0,10,ssim,8,0.028655393811773566,0.021781927462798167,0.03374997756342113
oracle k1 - sequential,-0.008,0.0,10,ncc,8,0.024955976597902496,0.01785606806694051,0.0520928500337452
oracle k1 - sequential,-0.008,0.0,10,mse,8,-1465796.6810395913,-3414276.534354161,-1258533.9124506575
oracle k1 - sequential,-0.008,0.0,10,coverage_fraction,8,0.00801072634998995,0.007439307729327327,0.00832856491534284
oracle k1 - sequential,-0.008,0.0,10,distortion_psnr,8,20.862862408702053,20.07837435512146,24.846693738254956
oracle k1 - sequential,-0.008,0.0,10,distortion_ssim,8,0.002857560654687341,0.0018637517568554918,0.005754592264487046
oracle k1 - sequential,-0.008,0.0,10,distortion_ncc,8,0.0006590673922271528,0.0005168861471519515,0.0015323030444692742
oracle k1 - sequential,-0.008,0.0,10,distortion_mse,8,-43824.32714375798,-108098.890187927,-25691.088516421394
oracle k1 - sequential,-0.008,0.0,10,distortion_coverage_fraction,8,0.0,0.0,0.0
oracle k1 - sequential,-0.008,0.0,10,time_s,8,-368.07,-419.79,-318.89
oracle k1 - sequential,-0.008,0.0,10,iterations,8,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,0,k1_err,4,-0.005624381129705111,-0.0057005491553196825,-0.005212359827298079
oracle k1 - sequential,0.008,0.0,0,k1_signed,4,0.005624381129705111,0.005212359827298079,0.0057005491553196825
oracle k1 - sequential,0.008,0.0,0,pos_rmse,4,-9.162059387254292,-9.504384952922168,-8.595864638818417
oracle k1 - sequential,0.008,0.0,0,pos_mae,4,-5.027777777777778,-5.166666666666667,-4.722222222222222
oracle k1 - sequential,0.008,0.0,0,pos_max,4,-10.0,-11.0,-10.0
oracle k1 - sequential,0.008,0.0,0,seam_true,4,-0.005217441274904904,-0.00693307310203339,-0.0035432699141589186
oracle k1 - sequential,0.008,0.0,0,seam_est,4,-0.0013316778992009477,-0.0018939035055123782,-0.0010692532918798565
oracle k1 - sequential,0.008,0.0,0,psnr,4,36.16373395458674,34.31027420576314,36.90195251100679
oracle k1 - sequential,0.008,0.0,0,ssim,4,0.021450601129499036,0.016405708099437866,0.026774039331920796
oracle k1 - sequential,0.008,0.0,0,ncc,4,0.018144301924266693,0.012532879825190246,0.02762045369839561
oracle k1 - sequential,0.008,0.0,0,mse,4,-1053844.2324162181,-1797067.5760090025,-887320.1731633634
oracle k1 - sequential,0.008,0.0,0,coverage_fraction,4,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,0,distortion_psnr,4,20.85368484422769,20.418120892184817,25.163513667088566
oracle k1 - sequential,0.008,0.0,0,distortion_ssim,4,0.0027558140880573068,0.001708261001241107,0.005607227504776935
oracle k1 - sequential,0.008,0.0,0,distortion_ncc,4,0.0006145262201144863,0.0004718496119249238,0.0015021601455605937
oracle k1 - sequential,0.008,0.0,0,distortion_mse,4,-41519.76119834511,-105435.99925001756,-22674.470053600446
oracle k1 - sequential,0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,0,time_s,4,-287.79999999999995,-389.11999999999995,-105.0
oracle k1 - sequential,0.008,0.0,0,iterations,4,0.0,0.0,0.0
oracle k1 - sequential,0.008,0.0,10,k1_err,8,-0.0056042412592759005,-0.005743928635086328,-0.005212359827298079
oracle k1 - sequential,0.008,0.0,10,k1_signed,8,0.0056042412592759005,0.005212359827298079,0.005743928635086328
oracle k1 - sequential,0.008,0.0,10,pos_rmse,8,-9.180280436333746,-9.814954576223638,-8.595864638818417
oracle k1 - sequential,0.008,0.0,10,pos_mae,8,-5.027777777777778,-5.388888888888889,-4.722222222222222
oracle k1 - sequential,0.008,0.0,10,pos_max,8,-10.5,-11.0,-10.0
