method,k1_true,k2_true,noise,n,median_k1_error,median_position_rmse
dcs_paper_no_prestitch,-0.008,0.0,0,4,0.0028208165813690435,5.738236783819955
dcs_paper_no_prestitch,-0.008,0.0,10,8,0.002724598473438411,5.631762461526126
dcs_paper_no_prestitch,0.0,0.0,0,4,5.836335013745869e-07,0.0
dcs_paper_no_prestitch,0.0,0.0,10,8,5.922756211661536e-05,1.1782754817669572
dcs_paper_no_prestitch,0.008,0.0,0,4,0.003484561348978184,7.400557676435104
dcs_paper_no_prestitch,0.008,0.0,10,8,0.0029829658197906305,5.915334262315488
sequential_paper_no_prestitch,-0.008,0.0,0,4,7.180972897768284e-06,0.0
sequential_paper_no_prestitch,-0.008,0.0,10,8,0.0013994144627239987,2.52876421498072
sequential_paper_no_prestitch,0.0,0.0,0,4,1.0431357467574671e-06,0.0
sequential_paper_no_prestitch,0.0,0.0,10,8,0.0013243835745934763,2.684561897964385
sequential_paper_no_prestitch,0.008,0.0,0,4,5.167479821001873e-06,0.0
sequential_paper_no_prestitch,0.008,0.0,10,8,0.0012887905640918303,2.103109000599085
dcs_paper_style,-0.008,0.0,0,4,0.002663715626649685,5.729871697486793
dcs_paper_style,-0.008,0.0,10,8,0.002730376224697271,5.686240703077327
dcs_paper_style,0.0,0.0,0,4,5.836335013745869e-07,0.0
dcs_paper_style,0.0,0.0,10,8,5.836335013745869e-07,0.0
dcs_paper_style,0.008,0.0,0,4,0.0030532047740437188,5.923858080425833
dcs_paper_style,0.008,0.0,10,8,0.003211493933382631,6.449314566605333
