comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
paper-style no-pre - sequential no-pre,-0.008,0.0,0,k1_err,4,0.002813635608471275,0.0024988264233069147,0.003186810632065741
paper-style no-pre - sequential no-pre,-0.008,0.0,0,k1_signed,4,0.002813635608471275,0.0024988264233069147,0.003186810632065741
paper-style no-pre - sequential no-pre,-0.008,0.0,0,pos_rmse,4,5.738236783819955,5.557777333511022,7.32575365861197
paper-style no-pre - sequential no-pre,-0.008,0.0,0,pos_mae,4,3.166666666666667,3.0555555555555554,4.055555555555555
paper-style no-pre - sequential no-pre,-0.008,0.0,0,pos_max,4,7.0,6.0,8.0
paper-style no-pre - sequential no-pre,-0.008,0.0,0,seam_true,4,0.002873807538486062,0.002413854210246405,0.0038080120227154016
paper-style no-pre - sequential no-pre,-0.008,0.0,0,seam_est,4,0.0013271922276406741,0.0012912990587302128,0.0014928956612001274
paper-style no-pre - sequential no-pre,-0.008,0.0,0,psnr,4,-34.13582286647096,-36.190552062892685,-32.083125443564946
paper-style no-pre - sequential no-pre,-0.008,0.0,0,ssim,4,-0.016951695236012365,-0.020586970718647457,-0.0156999590004403
paper-style no-pre - sequential no-pre,-0.008,0.0,0,ncc,4,-0.014232226053065788,-0.022004012047312393,-0.008263324592894805
paper-style no-pre - sequential no-pre,-0.008,0.0,0,mse,4,793118.9040990829,584867.123279184,1440209.3429297004
paper-style no-pre - sequential no-pre,-0.008,0.0,0,coverage_fraction,4,-0.004732247093471753,-0.005931643336917758,-0.004547171071264899
paper-style no-pre - sequential no-pre,-0.008,0.0,0,distortion_psnr,4,-16.210615847467103,-18.721904337735083,-14.985101732567472
paper-style no-pre - sequential no-pre,-0.008,0.0,0,distortion_ssim,4,-0.0011235054077079476,-0.0017442864409363823,-0.0009248380690227709
paper-style no-pre - sequential no-pre,-0.008,0.0,0,distortion_ncc,4,-0.00021840306910198004,-0.00037092424826301595,-0.00015636941166252694
paper-style no-pre - sequential no-pre,-0.008,0.0,0,distortion_mse,4,12804.614977206038,10269.716709360559,26119.82335446225
paper-style no-pre - sequential no-pre,-0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
