method,k1_true,k2_true,noise,n,median_k1_error,median_position_rmse
sequential_paper_bound_010,-0.008,0.0,0,4,0.0055120665680802455,9.530909454460165
sequential_paper_bound_010,-0.008,0.0,10,8,0.0055120665680802455,9.530909454460165
sequential_paper_bound_010,0.008,0.0,0,4,0.005624205230719123,8.928977092492921
sequential_paper_bound_010,0.008,0.0,10,8,0.005604088836788755,9.2043245315536
sequential_paper_bound_020,-0.008,0.0,0,4,0.005512153582273543,9.502351064565294
sequential_paper_bound_020,-0.008,0.0,10,8,0.005512153582273543,9.502351064565294
sequential_paper_bound_020,0.008,0.0,0,4,0.005624024455616742,8.89886737489922
sequential_paper_bound_020,0.008,0.0,10,8,0.005604826745553591,9.162059387254292
sequential_paper_matched,-0.008,0.0,0,4,0.005511762681084532,9.595062083010816
sequential_paper_matched,-0.008,0.0,10,8,0.005511762681084532,9.595062083010816
sequential_paper_matched,0.008,0.0,0,4,0.005624381129705111,9.162059387254292
sequential_paper_matched,0.008,0.0,10,8,0.0056042412592759005,9.180280436333746
