comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
sequential bound 0.010 - 0.015,-0.008,0.0,0,k1_err,4,3.609316731583573e-07,6.079379098657828e-08,6.675712230629766e-07
sequential bound 0.010 - 0.015,-0.008,0.0,0,k1_signed,4,3.609316731583573e-07,6.079379098657828e-08,6.675712230629766e-07
sequential bound 0.010 - 0.015,-0.008,0.0,0,pos_rmse,4,0.189653031991881,-0.2521222278940911,0.368069228241227
sequential bound 0.010 - 0.015,-0.008,0.0,0,pos_mae,4,0.13888888888888884,-0.11111111111111072,0.16666666666666696
sequential bound 0.010 - 0.015,-0.008,0.0,0,pos_max,4,0.5,-1.0,1.0
sequential bound 0.010 - 0.015,-0.008,0.0,0,seam_true,4,2.983279825451244e-07,5.032630132854182e-08,8.193034521999931e-07
sequential bound 0.010 - 0.015,-0.008,0.0,0,seam_est,4,-1.3283437009511262e-05,-0.0001647671407990479,0.0002078708044347178
sequential bound 0.010 - 0.015,-0.008,0.0,0,psnr,4,-0.15818321251594725,-0.2310903398672508,0.3095453903612366
sequential bound 0.010 - 0.015,-0.008,0.0,0,ssim,4,-0.0006321688289433469,-0.0012043982834811784,0.0007670659983566308
sequential bound 0.010 - 0.015,-0.008,0.0,0,ncc,4,-0.0010128688939259334,-0.002570120362071493,0.001228751500189862
sequential bound 0.010 - 0.015,-0.008,0.0,0,mse,4,55084.817933472805,-86994.99816452875,169116.72665873496
sequential bound 0.010 - 0.015,-0.008,0.0,0,coverage_fraction,4,-0.00018680301463797067,-0.0003777795943179507,0.00024897474216001303
sequential bound 0.010 - 0.015,-0.008,0.0,0,distortion_psnr,4,-0.0004774186798606195,-0.0008749560149468039,-8.757200226483519e-05
sequential bound 0.010 - 0.015,-0.008,0.0,0,distortion_ssim,4,-2.0321527549604923e-07,-4.0097572251429625e-07,-7.270847235396616e-08
sequential bound 0.010 - 0.015,-0.008,0.0,0,distortion_ncc,4,-5.821050441667808e-08,-1.5904540506817e-07,-3.032989459583746e-08
sequential bound 0.010 - 0.015,-0.008,0.0,0,distortion_mse,4,4.112579322019883,1.4554974828351988,10.384837047829933
sequential bound 0.010 - 0.015,-0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
sequential bound 0.010 - 0.015,-0.008,0.0,0,time_s,4,-292.41499999999996,-460.71999999999997,-225.10000000000002
sequential bound 0.010 - 0.015,-0.008,0.0,0,iterations,4,0.0,0.0,0.0
sequential bound 0.010 - 0.015,-0.008,0.0,10,k1_err,8,2.001941701028527e-07,6.079379098657828e-08,5.469802004387514e-07
sequential bound 0.010 - 0.015,-0.008,0.0,10,k1_signed,8,2.001941701028527e-07,6.079379098657828e-08,5.469802004387514e-07
sequential bound 0.010 - 0.015,-0.008,0.0,10,pos_rmse,8,0.12381697079278453,-0.2521222278940911,0.25548909319097746
sequential bound 0.010 - 0.015,-0.008,0.0,10,pos_mae,8,0.1111111111111116,-0.11111111111111072,0.16666666666666696
sequential bound 0.010 - 0.015,-0.008,0.0,10,pos_max,8,0.0,-1.0,1.0
sequential bound 0.010 - 0.015,-0.008,0.0,10,seam_true,8,1.9420930599139442e-07,5.032630132854182e-08,4.80446967772441e-07
sequential bound 0.010 - 0.015,-0.008,0.0,10,seam_est,8,-1.3283437009511262e-05,-0.0001647671407990479,5.798864123652365e-05
sequential bound 0.010 - 0.015,-0.008,0.0,10,psnr,8,-0.10643375923248755,-0.2310903398672508,0.3095453903612366
sequential bound 0.010 - 0.015,-0.008,0.0,10,ssim,8,-0.0004807434243760955,-0.0007835942335105983,0.0007670659983566308
sequential bound 0.010 - 0.015,-0.008,0.0,10,ncc,8,-0.0005930933684563655,-0.0014326444193955012,0.001228751500189862
sequential bound 0.010 - 0.015,-0.008,0.0,10,mse,8,41376.97335793148,-86994.99816452875,68792.66250901413
