comparison,k1_true,k2_true,noise,metric,n,median,ci_low,ci_high
paper-style - paper-matched sequential,-0.008,0.0,0,k1_err,4,-0.002807011293077677,-0.0031508763013505777,-0.0027231142616939846
paper-style - paper-matched sequential,-0.008,0.0,0,k1_signed,4,-0.002807011293077677,-0.0031508763013505777,-0.0027231142616939846
paper-style - paper-matched sequential,-0.008,0.0,0,pos_rmse,4,-3.8460091024450382,-4.457170143585612,-3.2198531881460246
paper-style - paper-matched sequential,-0.008,0.0,0,pos_mae,4,-2.0277777777777777,-2.4444444444444446,-1.6666666666666665
paper-style - paper-matched sequential,-0.008,0.0,0,pos_max,4,-4.0,-4.0,-4.0
paper-style - paper-matched sequential,-0.008,0.0,0,seam_true,4,-0.002334258252151005,-0.003783210817500701,-0.0017470269513696927
paper-style - paper-matched sequential,-0.008,0.0,0,seam_est,4,-0.0003432071529963375,-0.0004224643353261087,-0.00029660081950656
paper-style - paper-matched sequential,-0.008,0.0,0,psnr,4,3.5212337472921185,3.2628738914612327,3.6669872287045138
paper-style - paper-matched sequential,-0.008,0.0,0,ssim,4,0.011403686266964641,0.009144369631205795,0.014710602694161357
paper-style - paper-matched sequential,-0.008,0.0,0,ncc,4,0.013476330216482646,0.009961258655145078,0.029672643329401893
paper-style - paper-matched sequential,-0.008,0.0,0,mse,4,-813955.3879031311,-1946941.3526922306,-664932.8150190914
paper-style - paper-matched sequential,-0.008,0.0,0,coverage_fraction,4,0.0032763924739971917,0.0026425862517586163,0.0036607922059680442
paper-style - paper-matched sequential,-0.008,0.0,0,distortion_psnr,4,5.461445263028853,5.361773882588494,6.147049172995715
paper-style - paper-matched sequential,-0.008,0.0,0,distortion_ssim,4,0.0018483938081489404,0.0011869699329365435,0.0037375755997532956
paper-style - paper-matched sequential,-0.008,0.0,0,distortion_ncc,4,0.0004925306692769582,0.0003701898188388508,0.001096184087314378
paper-style - paper-matched sequential,-0.008,0.0,0,distortion_mse,4,-32590.625202570816,-77384.52449151406,-18593.856154671816
paper-style - paper-matched sequential,-0.008,0.0,0,distortion_coverage_fraction,4,0.0,0.0,0.0
paper-style - paper-matched sequential,-0.008,0.0,0,time_s,4,253.83000000000004,26.050000000000068,1764.1599999999999
paper-style - paper-matched sequential,-0.008,0.0,0,iterations,4,24.0,24.0,24.0
paper-style - paper-matched sequential,-0.008,0.0,10,k1_err,8,-0.002807011293077677,-0.0031508763013505777,-0.0027231142616939846
paper-style - paper-matched sequential,-0.008,0.0,10,k1_signed,8,-0.002807011293077677,-0.0031508763013505777,-0.0027231142616939846
paper-style - paper-matched sequential,-0.008,0.0,10,pos_rmse,8,-3.8460091024450382,-4.457170143585612,-3.2198531881460246
paper-style - paper-matched sequential,-0.008,0.0,10,pos_mae,8,-2.0277777777777777,-2.4444444444444446,-1.6666666666666665
paper-style - paper-matched sequential,-0.008,0.0,10,pos_max,8,-4.0,-4.0,-4.0
paper-style - paper-matched sequential,-0.008,0.0,10,seam_true,8,-0.002334258252151005,-0.003783210817500701,-0.0017470269513696927
paper-style - paper-matched sequential,-0.008,0.0,10,seam_est,8,-0.0003432071529963375,-0.0004224643353261087,-0.00029660081950656
paper-style - paper-matched sequential,-0.008,0.0,10,psnr,8,3.5212337472921185,3.2628738914612327,3.6669872287045138
paper-style - paper-matched sequential,-0.008,0.0,10,ssim,8,0.011403686266964641,0.009144369631205795,0.014710602694161357
paper-style - paper-matched sequential,-0.008,0.0,10,ncc,8,0.013476330216482646,0.009961258655145078,0.029672643329401893
paper-style - paper-matched sequential,-0.008,0.0,10,mse,8,-813955.3879031311,-1946941.3526922306,-664932.8150190914
paper-style - paper-matched sequential,-0.008,0.0,10,coverage_fraction,8,0.0032763924739971917,0.0026425862517586163,0.0036607922059680442
