method,k1_true,k2_true,noise,n,median_k1_error,median_position_rmse
dcs_paper_style,-0.008,0.0,0,4,0.002663715626649685,5.729871697486793
dcs_paper_style,-0.008,0.0,10,8,0.002730376224697271,5.686240703077327
dcs_paper_style,0.0,0.0,0,4,5.836335013745869e-07,0.0
dcs_paper_style,0.0,0.0,10,8,5.836335013745869e-07,0.0
dcs_paper_style,0.008,0.0,0,4,0.0030532047740437188,5.923858080425833
dcs_paper_style,0.008,0.0,10,8,0.003211493933382631,6.449314566605333
sequential_paper_matched,-0.008,0.0,0,4,0.005511762681084532,9.595062083010816
sequential_paper_matched,-0.008,0.0,10,8,0.005511762681084532,9.595062083010816
sequential_paper_matched,0.0,0.0,0,4,1.0431357467574671e-06,0.0
sequential_paper_matched,0.0,0.0,10,8,1.0431357467574671e-06,0.0
sequential_paper_matched,0.008,0.0,0,4,0.005624381129705111,9.162059387254292
sequential_paper_matched,0.008,0.0,10,8,0.0056042412592759005,9.180280436333746
